,data_hora,natureza_acidente,bairro,endereco,numero,tipo,auto,moto,ciclom,ciclista,pedestre,onibus,caminhao,viatura,outros,vitimas,vitimasfatais,acidente_verificado,tempo_clima,situacao_semaforo,sinalizacao,condicao_via,conservacao_via,velocidade_max_via,mao_direcao,latitude,longitude
1152,2019-02-11 11:23:00,SEM VÍTIMA,JIQUIÁ,RUA SAO MIGUEL,1832,COLISÃO,2,0,0,0,0,0,0,0,0,0,0,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,-8.081789200000001,-34.9231675
1153,2019-02-11 11:31:00,COM VÍTIMA,IMBIRIBEIRA,AV MARECHAL MASCARENHAS DE MORAES,4080,ABALROAMENTO LONGITUDINAL,1,1,0,0,0,0,0,0,0,1,0,Longo da via,Bom,Sem defeito,Perfeito estado,Seca,Perfeito estado,60 km/h,Única,-8.119742599999999,-34.9143867
1154,2019-02-11 11:37:00,SEM VÍTIMA,AFOGADOS,RUA SAO MIGUEL,1845,COLISÃO,1,0,0,0,0,0,1,0,0,0,0,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,-8.0863832,-34.9306608
1155,2019-02-11 12:16:00,SEM VÍTIMA,BOA VISTA,RUA JOSE DE ALENCAR,133,ABALROAMENTO TRANSVERSAL,1,1,0,0,0,0,0,0,0,0,0,Cruzamento,Bom,Não existe,Perfeito estado,Seca,Perfeito estado,Não informado,Dupla,-8.112525699999999,-34.956528000000006
1156,2019-02-11 12:25:00,SEM VÍTIMA,ENCRUZILHADA,RUA FERNANDO CESAR,,ABALROAMENTO LONGITUDINAL,1,0,0,0,0,0,1,0,0,0,0,Cruzamento,Bom,Não existe,Perfeito estado,Seca,Perfeito estado,30 km/h,Única,-8.0354396,-34.893159600000004
1157,2019-02-11 12:31:00,COM VÍTIMA,AFOGADOS,RUA COSME VIANA,235,COLISÃO TRASEIRA,1,1,0,0,0,0,0,0,0,1,0,Longo da via,Bom,Sem defeito,Perfeito estado,Seca,Não informado,Não informado,Única,-8.0747609,-34.909130299999994
1158,2019-02-11 13:21:00,SEM VÍTIMA,GRAÇAS,RUA DR BANDEIRA FILHO,50,COLISÃO,2,0,0,0,0,0,0,0,0,0,0,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,-8.04297605,-34.89917442533633
1159,2019-02-11 13:51:00,SEM VÍTIMA,SAN MARTIN,AV ENGENHEIRO ABDIAS DE CARVALHO,,COLISÃO,3,0,0,0,0,0,0,0,0,0,0,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,-8.062370399999999,-34.9319576
1160,2019-02-11 14:25:00,SEM VÍTIMA,TORRE,AV BEIRA RIO,1305,COLISÃO,1,0,0,0,0,0,1,0,0,0,0,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,-8.0667355,-34.8967797
1161,2019-02-11 14:34:00,SEM VÍTIMA,MADALENA,RUA REAL DA TORRE,637,COLISÃO,2,0,0,0,0,0,0,0,0,0,0,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,-8.0512778,-34.90864570000001
1162,2019-02-11 14:41:00,SEM VÍTIMA,Não informado,AV ANIBAL BENEVOLO,1770,COLISÃO TRASEIRA,1,0,0,0,0,1,0,0,0,0,0,Longo da via,Bom,Não existe,Perfeito estado,Seca,Perfeito estado,Não informado,Dupla,-8.0095337,-34.897364200000005
